(.venv) rifatbinrashid@Mac CommNet2/Security Project % python3 victim_server.py
[*] Victim Server listening on 127.0.0.1:9999
[*] Waiting for connections...

[+] Connection #85 from ('127.0.0.1', 54656) | Response time: 0.48 ms
[+] Connection #86 from ('127.0.0.1', 54657) | Response time: 0.48 ms
[+] Connection #87 from ('127.0.0.1', 54658) | Response time: 0.32 ms
[+] Connection #88 from ('127.0.0.1', 54659) | Response time: 0.49 ms
[+] Connection #89 from ('127.0.0.1', 54660) | Response time: 0.43 ms
[+] Connection #90 from ('127.0.0.1', 54661) | Response time: 0.41 ms
[+] Connection #91 from ('127.0.0.1', 54662) | Response time: 0.41 ms
[+] Connection #92 from ('127.0.0.1', 54663) | Response time: 0.39 ms
[+] Connection #93 from ('127.0.0.1', 54664) | Response time: 0.37 ms
[+] Connection #94 from ('127.0.0.1', 54665) | Response time: 0.47 ms
[+] Connection #95 from ('127.0.0.1', 54666) | Response time: 0.45 ms
[+] Connection #96 from ('127.0.0.1', 54667) | Response time: 0.46 ms
[+] Connection #97 from ('127.0.0.1', 54668) | Response time: 0.41 ms
[+] Connection #98 from ('127.0.0.1', 54669) | Response time: 0.40 ms
[+] Connection #99 from ('127.0.0.1', 54670) | Response time: 0.42 ms
[+] Connection #100 from ('127.0.0.1', 54671) | Response time: 0.47 ms
[+] Connection #101 from ('127.0.0.1', 54723) | Response time: 0.10 ms
[+] Connection #102 from ('127.0.0.1', 54724) | Response time: 0.18 ms
[+] Connection #103 from ('127.0.0.1', 54725) | Response time: 0.19 ms
[+] Connection #104 from ('127.0.0.1', 54726) | Response time: 0.19 ms
[+] Connection #105 from ('127.0.0.1', 54727) | Response time: 0.20 ms
[+] Connection #106 from ('127.0.0.1', 54728) | Response time: 0.21 ms
[+] Connection #107 from ('127.0.0.1', 54729) | Response time: 0.21 ms
[+] Connection #108 from ('127.0.0.1', 54730) | Response time: 0.15 ms
[+] Connection #109 from ('127.0.0.1', 54731) | Response time: 0.22 ms
[+] Connection #110 from ('127.0.0.1', 54732) | Response time: 0.31 ms
[+] Connection #111 from ('127.0.0.1', 54733) | Response time: 0.45 ms
[+] Connection #112 from ('127.0.0.1', 54734) | Response time: 0.33 ms
[+] Connection #113 from ('127.0.0.1', 54735) | Response time: 0.50 ms
[+] Connection #114 from ('127.0.0.1', 54736) | Response time: 0.30 ms
[+] Connection #115 from ('127.0.0.1', 54737) | Response time: 0.36 ms
[+] Connection #116 from ('127.0.0.1', 54739) | Response time: 0.25 ms
[+] Connection #117 from ('127.0.0.1', 54740) | Response time: 0.29 ms
[+] Connection #118 from ('127.0.0.1', 54741) | Response time: 0.38 ms
[+] Connection #119 from ('127.0.0.1', 54742) | Response time: 0.88 ms
[+] Connection #120 from ('127.0.0.1', 54743) | Response time: 0.37 ms
[+] Connection #121 from ('127.0.0.1', 54744) | Response time: 0.24 ms
[+] Connection #122 from ('127.0.0.1', 54745) | Response time: 0.26 ms
[+] Connection #123 from ('127.0.0.1', 54746) | Response time: 0.30 ms
