phase,request_num,latency_ms
during_attack,1,0.4780292510986328
during_attack,2,0.8919239044189453
during_attack,3,1.1432170867919922
during_attack,4,1.1599063873291016
during_attack,5,1.1138916015625
during_attack,6,0.7259845733642578
during_attack,7,1.4712810516357422
during_attack,8,0.4398822784423828
during_attack,9,1.1749267578125
during_attack,10,0.8831024169921875
during_attack,11,1.329183578491211
during_attack,12,1.241922378540039
during_attack,13,2.354860305786133
during_attack,14,1.4867782592773438
during_attack,15,1.4300346374511719
during_attack,16,0.6449222564697266
during_attack,17,1.0440349578857422
during_attack,18,1.7521381378173828
during_attack,19,1.4240741729736328
during_attack,20,1.7769336700439453
during_attack,21,143.76282691955566
during_attack,22,0.8180141448974609
during_attack,23,1.3167858123779297
during_attack,24,1.6582012176513672
during_attack,25,1.8680095672607422
during_attack,26,1.0988712310791016
during_attack,27,0.8063316345214844
during_attack,28,2.362966537475586
during_attack,29,1.0528564453125
during_attack,30,1.4681816101074219
during_attack,31,1.7652511596679688
during_attack,32,3.1900405883789062
during_attack,33,2.346038818359375
during_attack,34,2.605915069580078
during_attack,35,1.397848129272461
during_attack,36,1.3492107391357422
during_attack,37,2.9740333557128906
during_attack,38,1.447916030883789
during_attack,39,0.5891323089599609
during_attack,40,0.5691051483154297
during_attack,41,0.8001327514648438
during_attack,42,0.614166259765625
during_attack,43,0.6630420684814453
during_attack,44,3.306865692138672
during_attack,45,0.8189678192138672
during_attack,46,0.7860660552978516
during_attack,47,0.8640289306640625
during_attack,48,1.5959739685058594
during_attack,49,1.1510848999023438
during_attack,50,0.6127357482910156
