phase,request_num,latency_ms
baseline,1,0.43702125549316406
baseline,2,0.55694580078125
baseline,3,1.5277862548828125
baseline,4,1.5330314636230469
baseline,5,1.6291141510009766
baseline,6,1.1219978332519531
baseline,7,1.5017986297607422
baseline,8,1.6219615936279297
baseline,9,0.8757114410400391
baseline,10,2.980947494506836
baseline,11,0.90789794921875
baseline,12,0.8108615875244141
baseline,13,0.8540153503417969
baseline,14,1.093149185180664
baseline,15,0.8487701416015625
baseline,16,0.8029937744140625
baseline,17,1.8019676208496094
baseline,18,1.7011165618896484
baseline,19,1.7077922821044922
baseline,20,0.43702125549316406
baseline,21,0.9608268737792969
baseline,22,1.4491081237792969
baseline,23,1.138925552368164
baseline,24,1.134634017944336
baseline,25,0.7860660552978516
baseline,26,1.3751983642578125
baseline,27,1.7518997192382812
baseline,28,1.605987548828125
baseline,29,1.6529560089111328
baseline,30,1.3887882232666016
baseline,31,2.1882057189941406
baseline,32,1.592874526977539
baseline,33,1.8970966339111328
baseline,34,1.7151832580566406
baseline,35,1.6109943389892578
baseline,36,1.5940666198730469
baseline,37,0.9410381317138672
baseline,38,1.7008781433105469
baseline,39,1.2438297271728516
baseline,40,2.1691322326660156
baseline,41,1.6922950744628906
baseline,42,1.4958381652832031
baseline,43,1.3971328735351562
baseline,44,1.4111995697021484
baseline,45,1.7638206481933594
baseline,46,1.584768295288086
baseline,47,1.5308856964111328
baseline,48,1.3298988342285156
baseline,49,1.4061927795410156
baseline,50,1.638174057006836
